users_id,country,gender,cust_group,join_date,group_device,date,activity_device,spent
1000162,BRA,M,A,27/01/2023,A,27/01/2023,A,52.92
1000163,BRA,F,B,29/01/2023,A,,,
1000164,BRA,F,B,26/01/2023,A,,,
1000165,GBR,M,B,30/01/2023,I,,,
1000166,DEU,M,A,04/02/2023,A,,,
1000167,BRA,F,A,25/01/2023,A,,,
1000168,BRA,F,A,05/02/2023,A,,,
1000169,USA,O,A,26/01/2023,I,,,
1000170,USA,M,B,01/02/2023,A,,,
1000171,USA,M,A,27/01/2023,I,,,
1000172,USA,,A,25/01/2023,I,,,
1000173,USA,F,A,25/01/2023,I,,,
1000174,TUR,M,B,29/01/2023,A,,,
1000175,AUS,F,A,25/01/2023,I,,,
1000177,DEU,F,A,02/02/2023,A,,,
1000178,USA,M,B,03/02/2023,I,,,
1000179,USA,M,B,27/01/2023,A,,,
1000180,USA,M,B,25/01/2023,I,,,
1000181,USA,F,A,03/02/2023,I,,,
1000182,TUR,F,B,31/01/2023,A,,,
1000183,MEX,M,B,27/01/2023,A,,,
1000184,ESP,M,A,25/01/2023,A,,,
1000185,MEX,F,B,04/02/2023,I,06/02/2023,I,53.07
1000186,MEX,F,A,01/02/2023,A,,,
1000187,,M,B,26/01/2023,I,,,
1000188,USA,M,B,25/01/2023,A,,,
1000189,CAN,,B,25/01/2023,I,,,
1000190,GBR,M,A,05/02/2023,I,,,
1000191,FRA,F,B,25/01/2023,A,,,
1000192,ESP,F,A,05/02/2023,I,,,
1000193,BRA,F,B,26/01/2023,A,,,
1000194,MEX,F,A,31/01/2023,A,,,
1000195,GBR,F,A,25/01/2023,A,,,
1000196,MEX,M,A,26/01/2023,A,,,
1000197,TUR,F,B,30/01/2023,A,,,
1000198,USA,M,A,28/01/2023,A,,,
1000199,MEX,F,B,06/02/2023,I,,,
1000200,USA,F,A,26/01/2023,I,26/01/2023,I,166.32
1000201,CAN,F,B,27/01/2023,I,,,
1000202,MEX,M,A,26/01/2023,A,,,
1000203,DEU,M,A,26/01/2023,A,,,
1000204,DEU,M,B,27/01/2023,A,,,
1000205,BRA,,A,29/01/2023,A,,,
1000206,USA,F,A,26/01/2023,I,,,
1000207,TUR,F,A,26/01/2023,A,,,
1000208,USA,F,A,25/01/2023,I,,,
1000209,ESP,,B,05/02/2023,A,,,
1000210,FRA,F,A,28/01/2023,I,,,
1000211,USA,M,B,30/01/2023,A,,,
1000212,MEX,F,A,31/01/2023,A,,,
1000213,AUS,M,B,26/01/2023,I,,,
1000214,FRA,F,B,25/01/2023,A,,,
1000215,,M,B,02/02/2023,I,,,
1000216,USA,M,B,27/01/2023,I,,,
1000217,BRA,,B,26/01/2023,A,,,
1000218,USA,F,B,25/01/2023,A,,,
1000219,ESP,F,A,25/01/2023,A,,,
1000220,USA,,A,26/01/2023,I,,,
1000221,DEU,M,A,27/01/2023,A,,,
1000222,USA,M,A,01/02/2023,A,,,
1000223,DEU,M,A,01/02/2023,I,,,
1000224,GBR,F,A,05/02/2023,A,,,
1000225,USA,M,B,28/01/2023,A,,,
1000226,CAN,M,A,31/01/2023,,,,
1000227,GBR,F,A,25/01/2023,I,,,
1000228,USA,F,B,01/02/2023,I,,,
1000229,USA,M,A,28/01/2023,I,,,
1000230,BRA,O,B,25/01/2023,I,,,
1000231,FRA,F,B,25/01/2023,I,,,
1000232,BRA,F,B,29/01/2023,A,,,
1000233,MEX,M,A,26/01/2023,A,,,
1000234,GBR,M,B,02/02/2023,A,,,
1000235,FRA,M,A,06/02/2023,I,,,
1000236,BRA,M,B,05/02/2023,I,,,
1000237,USA,M,B,29/01/2023,I,29/01/2023,I,13.17
1000238,USA,M,B,27/01/2023,I,,,
1000239,TUR,F,A,25/01/2023,A,,,
1000240,CAN,M,B,05/02/2023,I,,,
1000241,BRA,,A,25/01/2023,A,,,
1000242,BRA,M,B,27/01/2023,A,,,
1000243,USA,F,A,26/01/2023,A,,,
1000244,USA,M,B,28/01/2023,A,,,
1000245,MEX,F,A,25/01/2023,A,,,
1000246,TUR,F,B,26/01/2023,I,,,
1000247,FRA,F,A,28/01/2023,A,,,
1000248,FRA,M,A,25/01/2023,A,,,
1000249,GBR,F,A,26/01/2023,,,,
1000250,FRA,F,B,04/02/2023,A,,,
1000251,USA,M,A,26/01/2023,A,,,
1000252,TUR,F,A,01/02/2023,I,,,
1000253,DEU,M,B,06/02/2023,A,06/02/2023,A,40.32
1000254,ESP,M,B,30/01/2023,A,,,
1000255,FRA,,B,26/01/2023,A,,,
1000256,USA,,B,28/01/2023,I,,,
1000257,GBR,F,B,29/01/2023,A,,,
1000258,CAN,F,A,27/01/2023,I,,,
1000259,BRA,M,A,06/02/2023,A,,,
1000260,USA,F,B,04/02/2023,A,,,
1000261,TUR,F,A,25/01/2023,A,25/01/2023,A,205.98
1000262,MEX,M,A,31/01/2023,A,,,
1000263,USA,M,B,31/01/2023,A,,,
1000264,BRA,F,A,25/01/2023,A,,,
1000265,USA,F,A,28/01/2023,A,,,
1000266,GBR,M,B,31/01/2023,A,,,
1000267,USA,M,B,25/01/2023,I,,,
1000268,BRA,F,A,31/01/2023,A,,,
1000269,USA,M,A,25/01/2023,A,25/01/2023,A,116.29
1000270,AUS,F,A,26/01/2023,I,,,
1000271,MEX,M,A,28/01/2023,A,,,
1000272,FRA,M,B,29/01/2023,I,,,
1000273,DEU,F,B,03/02/2023,I,,,
1000274,DEU,M,A,25/01/2023,I,,,
1000275,USA,M,A,26/01/2023,I,,,
1000276,BRA,M,A,26/01/2023,I,,,
1000277,BRA,F,A,03/02/2023,A,,,
1000278,DEU,,A,29/01/2023,I,,,
1000279,USA,M,A,25/01/2023,A,,,
1000280,MEX,F,A,01/02/2023,A,,,
1000281,USA,M,B,28/01/2023,A,,,
1000282,MEX,M,B,04/02/2023,A,,,
1000283,USA,M,B,02/02/2023,I,,,
1000284,BRA,,B,25/01/2023,I,,,
1000285,,F,A,25/01/2023,I,,,
1000286,USA,M,A,30/01/2023,I,,,
1000287,DEU,F,B,27/01/2023,I,,,
1000288,TUR,F,A,28/01/2023,I,,,
1000289,DEU,M,B,04/02/2023,A,,,
1000290,FRA,M,A,26/01/2023,I,,,
1000291,ESP,M,A,28/01/2023,I,,,
1000292,ESP,,A,26/01/2023,A,,,
1000294,MEX,F,B,02/02/2023,A,,,
1000295,USA,F,B,27/01/2023,A,,,
1000296,USA,M,A,29/01/2023,A,,,
1000297,BRA,,B,26/01/2023,A,,,
1000298,CAN,F,A,26/01/2023,A,,,
1000299,FRA,M,B,27/01/2023,I,,,
1000300,MEX,F,A,26/01/2023,A,,,
1000301,TUR,F,B,25/01/2023,I,,,
1000302,BRA,F,A,25/01/2023,I,,,
1000303,DEU,F,B,29/01/2023,I,,,
1000304,USA,M,A,03/02/2023,A,,,
1000305,USA,F,A,26/01/2023,A,,,
1000306,FRA,F,A,25/01/2023,A,,,
1000307,BRA,M,A,31/01/2023,A,,,
1000308,BRA,M,A,27/01/2023,A,,,
1000309,USA,F,B,26/01/2023,I,,,
1000310,BRA,F,B,27/01/2023,A,,,
1000311,BRA,F,A,25/01/2023,I,,,
1000312,MEX,F,B,04/02/2023,I,,,
1000313,MEX,F,B,25/01/2023,I,,,
1000315,BRA,F,A,02/02/2023,A,,,
1000316,USA,F,A,02/02/2023,A,,,
1000317,FRA,M,B,27/01/2023,A,,,
1000318,USA,M,B,03/02/2023,A,,,
1000319,AUS,F,A,28/01/2023,A,,,
1000320,USA,M,A,31/01/2023,A,,,
1000321,USA,F,A,30/01/2023,A,,,
1000322,CAN,,B,27/01/2023,A,,,
1000323,TUR,F,B,25/01/2023,A,,,
1000325,MEX,M,A,30/01/2023,I,,,
1000326,TUR,F,B,30/01/2023,A,,,
1000327,USA,M,A,25/01/2023,A,,,
1000328,MEX,F,B,26/01/2023,A,,,
1000329,USA,M,B,31/01/2023,I,,,
1000330,TUR,F,B,26/01/2023,A,,,
1000331,USA,M,A,27/01/2023,I,,,
1000332,USA,F,A,25/01/2023,I,,,
1000333,USA,M,A,26/01/2023,A,,,
1000334,FRA,F,A,29/01/2023,I,,,
1000335,USA,F,A,25/01/2023,A,,,
1000336,BRA,M,B,26/01/2023,A,,,
1000337,MEX,M,A,25/01/2023,A,,,
1000338,MEX,O,A,06/02/2023,I,,,
1000339,USA,F,A,02/02/2023,A,,,
1000340,USA,F,B,01/02/2023,I,,,
1000341,USA,,A,28/01/2023,I,,,
1000342,AUS,F,B,27/01/2023,I,,,
1000343,GBR,O,A,01/02/2023,A,,,
1000344,USA,F,A,25/01/2023,I,,,
1000345,GBR,M,A,25/01/2023,A,,,
1000346,MEX,F,A,25/01/2023,I,,,
1000347,AUS,O,A,27/01/2023,A,,,
1000348,BRA,M,B,25/01/2023,A,,,
1000349,BRA,M,B,30/01/2023,A,,,
1000350,USA,M,B,25/01/2023,I,,,
1000351,BRA,F,B,28/01/2023,A,,,
1000352,USA,F,A,27/01/2023,A,,,
1000353,MEX,,A,25/01/2023,A,,,
1000354,BRA,F,B,26/01/2023,I,,,
1000355,FRA,M,A,26/01/2023,A,,,
1000356,GBR,F,A,26/01/2023,I,,,
1000357,USA,F,A,27/01/2023,I,,,
1000358,,F,B,27/01/2023,A,,,
1000359,GBR,M,B,27/01/2023,I,,,
1000360,TUR,,B,25/01/2023,I,,,
1000361,BRA,F,B,04/02/2023,I,,,
1000362,FRA,M,A,27/01/2023,A,,,
1000363,ESP,M,A,06/02/2023,A,,,
1000364,TUR,F,A,29/01/2023,A,,,
1000365,FRA,F,B,26/01/2023,A,,,
1000366,TUR,,B,04/02/2023,A,,,
1000367,BRA,M,B,25/01/2023,A,,,
1000368,BRA,,A,03/02/2023,A,,,
1000369,BRA,O,A,25/01/2023,I,,,
1000370,BRA,M,B,26/01/2023,A,,,
1000371,USA,M,A,03/02/2023,A,,,
1000372,AUS,F,B,27/01/2023,,,,
1000373,FRA,F,A,30/01/2023,A,,,
1000374,ESP,F,A,03/02/2023,A,,,
1000375,USA,M,B,25/01/2023,A,,,
1000376,MEX,F,A,28/01/2023,A,,,
1000377,BRA,,B,02/02/2023,A,,,
1000378,USA,F,B,25/01/2023,A,,,
1000379,MEX,F,A,25/01/2023,I,,,
1000381,BRA,,B,26/01/2023,A,,,
1000382,DEU,M,A,04/02/2023,I,,,
1000383,ESP,,A,25/01/2023,A,,,
1000384,DEU,F,A,26/01/2023,I,,,
1000385,DEU,M,A,26/01/2023,A,,,
1000386,TUR,M,A,28/01/2023,A,,,
1000387,MEX,F,B,03/02/2023,A,,,
1000388,GBR,F,B,26/01/2023,I,,,
1000389,USA,M,B,27/01/2023,A,,,
1000391,BRA,,B,06/02/2023,A,,,
1000392,ESP,F,A,25/01/2023,A,,,
1000393,USA,F,A,25/01/2023,A,,,
1000394,ESP,F,A,29/01/2023,I,,,
1000395,USA,F,A,01/02/2023,A,,,
1000396,MEX,O,A,26/01/2023,A,,,
1000397,CAN,F,B,29/01/2023,A,,,
1000398,USA,F,B,26/01/2023,A,,,
1000399,DEU,M,A,26/01/2023,I,,,
1000401,USA,F,A,30/01/2023,I,,,
1000402,CAN,,A,25/01/2023,I,,,
1000403,AUS,O,A,26/01/2023,A,,,
1000404,MEX,M,A,31/01/2023,A,,,
1000405,USA,M,A,28/01/2023,I,,,
1000406,MEX,,A,01/02/2023,A,,,
1000407,TUR,,A,27/01/2023,I,,,
1000408,BRA,M,B,27/01/2023,A,,,
1000409,BRA,M,A,27/01/2023,A,,,
1000410,CAN,F,B,25/01/2023,A,,,
1000411,GBR,F,B,03/02/2023,I,,,
1000412,TUR,F,A,25/01/2023,I,,,
1000413,MEX,,B,27/01/2023,A,,,
1000414,BRA,M,B,28/01/2023,A,,,
1000415,DEU,,B,04/02/2023,I,05/02/2023,I,57.69
1000416,USA,M,A,05/02/2023,A,,,
1000417,DEU,F,B,30/01/2023,A,04/02/2023,A,45.06
1000418,USA,F,B,04/02/2023,A,,,
1000419,USA,F,A,26/01/2023,I,,,
1000420,USA,F,A,01/02/2023,A,,,
1000421,MEX,F,A,06/02/2023,A,,,
1000422,TUR,,A,30/01/2023,I,,,
1000423,USA,F,B,25/01/2023,A,,,
1000424,DEU,F,B,25/01/2023,I,,,
1000425,USA,F,B,29/01/2023,A,,,
1000426,MEX,F,A,30/01/2023,I,,,
1000428,USA,M,A,28/01/2023,A,,,
1000429,MEX,O,B,25/01/2023,A,,,
1000430,USA,M,A,26/01/2023,I,,,
1000431,DEU,F,B,25/01/2023,A,,,
1000432,USA,,A,26/01/2023,A,,,
1000433,,F,B,05/02/2023,I,,,
1000434,BRA,M,B,31/01/2023,I,,,
1000436,TUR,F,B,28/01/2023,A,29/01/2023,A,25.55
1000437,DEU,M,A,06/02/2023,A,,,
1000438,MEX,F,A,25/01/2023,I,,,
1000439,MEX,F,A,25/01/2023,I,,,
1000440,GBR,M,B,27/01/2023,A,,,
1000441,MEX,F,A,04/02/2023,A,,,
1000442,DEU,F,A,26/01/2023,I,,,
1000443,USA,M,A,28/01/2023,A,,,
1000445,AUS,F,B,26/01/2023,A,,,
1000446,FRA,F,A,31/01/2023,A,,,
1000447,USA,F,B,25/01/2023,I,,,
1000448,BRA,F,A,25/01/2023,I,,,
1000449,USA,,B,25/01/2023,I,,,
1000450,USA,M,B,27/01/2023,I,,,
1000451,BRA,F,A,01/02/2023,I,,,
1000452,BRA,,A,28/01/2023,A,,,
1000453,MEX,M,A,25/01/2023,A,,,
1000454,USA,M,B,30/01/2023,I,03/02/2023,I,39.09
1000455,USA,F,B,29/01/2023,I,,,
1000456,TUR,F,A,27/01/2023,I,,,
1000457,BRA,F,A,02/02/2023,I,,,
1000458,BRA,O,A,06/02/2023,I,,,
1000459,FRA,F,B,26/01/2023,A,,,
1000460,BRA,,B,27/01/2023,A,,,
1000461,BRA,,A,26/01/2023,I,,,
1000462,CAN,M,B,25/01/2023,I,,,
1000463,TUR,M,A,05/02/2023,A,,,
1000464,USA,M,A,26/01/2023,A,,,
1000465,BRA,M,A,27/01/2023,A,,,
1000466,USA,F,B,30/01/2023,I,,,
1000467,TUR,,B,28/01/2023,A,,,
1000468,AUS,F,B,25/01/2023,I,,,
1000469,GBR,,B,05/02/2023,A,,,
1000470,DEU,F,B,30/01/2023,I,,,
1000471,BRA,F,A,01/02/2023,A,,,
1000472,CAN,F,B,28/01/2023,I,,,
1000473,USA,M,A,28/01/2023,A,,,
1000474,GBR,M,B,26/01/2023,A,,,
1000475,BRA,,B,06/02/2023,A,,,
1000476,MEX,F,B,01/02/2023,I,,,
1000477,,F,B,28/01/2023,A,,,
1000478,FRA,F,A,27/01/2023,I,,,
1000479,USA,M,B,31/01/2023,I,,,
1000480,BRA,,A,25/01/2023,A,,,
1000481,BRA,F,A,02/02/2023,A,,,
1000482,TUR,M,B,26/01/2023,A,,,
1000483,USA,M,A,31/01/2023,I,,,
1000484,BRA,M,A,28/01/2023,A,,,
1000485,BRA,,A,25/01/2023,I,,,
1000486,DEU,M,B,25/01/2023,A,,,
1000487,MEX,M,A,29/01/2023,I,,,
1000488,FRA,F,B,05/02/2023,A,,,
1000489,MEX,F,A,06/02/2023,I,,,
1000490,USA,F,A,27/01/2023,A,,,
1000491,TUR,,B,26/01/2023,I,,,
1000492,BRA,F,A,02/02/2023,A,,,
1000493,USA,F,B,05/02/2023,A,,,
1000494,USA,F,A,27/01/2023,I,,,
1000495,FRA,M,A,27/01/2023,I,,,
1000496,MEX,M,A,05/02/2023,A,,,
1000497,USA,F,A,25/01/2023,A,,,
1000498,USA,F,A,05/02/2023,I,,,
1000499,MEX,F,B,25/01/2023,I,,,
1000500,MEX,O,B,30/01/2023,A,,,
1000501,USA,F,B,29/01/2023,I,,,
1000502,DEU,M,B,30/01/2023,A,,,
1000503,DEU,M,A,25/01/2023,A,,,
1000504,USA,F,A,29/01/2023,I,,,
1000505,MEX,M,B,28/01/2023,,,,
1000506,MEX,F,B,30/01/2023,A,,,
1000507,BRA,,B,01/02/2023,A,,,
1000508,GBR,F,A,26/01/2023,I,,,
1000509,USA,F,A,25/01/2023,I,,,
1000510,MEX,M,B,02/02/2023,A,02/02/2023,A,16.92
1000511,GBR,M,B,25/01/2023,I,,,
1000512,,M,B,25/01/2023,I,,,
1000513,USA,F,A,28/01/2023,A,,,
1000514,ESP,M,B,05/02/2023,A,,,
1000515,BRA,M,A,26/01/2023,A,,,
1000516,MEX,F,A,25/01/2023,A,,,
1000517,BRA,M,A,03/02/2023,A,,,
1000518,USA,F,B,31/01/2023,A,,,
1000519,MEX,F,B,27/01/2023,I,,,
1000520,MEX,M,B,01/02/2023,A,,,
1000521,USA,M,B,26/01/2023,I,,,
1000522,GBR,F,B,28/01/2023,A,,,
1000523,BRA,F,A,04/02/2023,A,04/02/2023,A,89.64
1000524,MEX,F,B,25/01/2023,A,,,
1000525,BRA,F,B,05/02/2023,I,,,
1000526,USA,F,A,29/01/2023,,,,
1000527,BRA,F,B,31/01/2023,A,,,
1000528,DEU,F,A,25/01/2023,A,,,
1000529,GBR,M,B,27/01/2023,A,,,
1000530,FRA,F,B,03/02/2023,I,,,
1000531,DEU,F,A,25/01/2023,I,,,
1000532,USA,M,A,26/01/2023,I,,,
1000533,USA,M,B,25/01/2023,A,,,
1000534,FRA,F,B,29/01/2023,A,,,
1000535,DEU,M,A,31/01/2023,I,,,
1000536,USA,M,A,30/01/2023,A,,,
1000537,BRA,M,A,25/01/2023,I,,,
1000538,FRA,M,A,26/01/2023,I,,,
1000539,BRA,F,A,26/01/2023,I,,,
1000540,BRA,F,A,25/01/2023,A,,,
1000541,BRA,F,B,26/01/2023,A,,,
1000542,MEX,M,A,27/01/2023,A,,,
1000543,USA,M,B,03/02/2023,A,,,
1000544,USA,M,A,30/01/2023,A,,,
1000545,USA,M,B,29/01/2023,A,,,
1000546,FRA,F,A,29/01/2023,A,29/01/2023,A,61.12
1000547,USA,M,A,26/01/2023,A,,,
1000548,USA,F,A,31/01/2023,I,,,
1000549,TUR,M,B,03/02/2023,I,,,
1000550,GBR,M,B,25/01/2023,I,,,
1000551,FRA,F,A,28/01/2023,A,,,
1000552,USA,F,B,27/01/2023,I,,,
1000553,USA,M,A,25/01/2023,A,,,
1000554,USA,M,B,26/01/2023,I,,,
1000555,USA,F,B,27/01/2023,I,,,
1000556,TUR,M,B,27/01/2023,A,,,
1000557,TUR,F,A,28/01/2023,A,,,
1000558,BRA,,A,27/01/2023,I,,,
1000559,DEU,M,B,25/01/2023,I,,,
1000560,USA,F,B,25/01/2023,I,,,
1000561,USA,F,B,25/01/2023,A,,,
1000562,ESP,M,A,27/01/2023,I,,,
1000563,BRA,,A,25/01/2023,A,,,
1000564,USA,F,A,25/01/2023,A,,,
1000565,DEU,F,A,02/02/2023,I,,,
1000566,USA,F,A,25/01/2023,I,,,
1000567,GBR,F,B,04/02/2023,A,,,
1000568,AUS,M,A,30/01/2023,I,,,
1000569,GBR,M,A,01/02/2023,A,,,
1000570,MEX,M,A,25/01/2023,A,,,
1000571,USA,F,A,04/02/2023,A,,,
1000572,TUR,,B,26/01/2023,I,,,
1000573,BRA,F,A,26/01/2023,I,,,
1000574,USA,,A,06/02/2023,A,,,
1000575,USA,M,B,06/02/2023,I,,,
1000576,TUR,M,B,27/01/2023,A,,,
1000577,BRA,F,B,26/01/2023,A,,,
1000578,BRA,,B,25/01/2023,A,,,
1000579,BRA,M,B,04/02/2023,A,04/02/2023,A,117.79
1000580,USA,F,A,27/01/2023,A,,,
1000581,TUR,,A,28/01/2023,I,,,
1000583,USA,M,B,31/01/2023,A,,,
1000584,USA,M,A,25/01/2023,I,,,
1000585,USA,F,A,04/02/2023,A,,,
1000586,DEU,O,A,31/01/2023,I,,,
1000587,USA,F,A,25/01/2023,A,,,
1000588,DEU,M,A,25/01/2023,A,,,
1000589,USA,,A,26/01/2023,A,,,
1000590,DEU,M,A,02/02/2023,A,,,
1000591,USA,F,B,27/01/2023,A,,,
1000592,CAN,,B,25/01/2023,A,,,
1000593,MEX,M,B,27/01/2023,A,,,
1000594,BRA,F,B,25/01/2023,A,,,
1000595,DEU,,B,29/01/2023,A,,,
1000596,GBR,M,B,28/01/2023,A,,,
1000597,BRA,F,B,26/01/2023,A,,,
